,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20
cost min,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
cost_max,119.9458321080466,120.12310685593106,117.5288825400536,116.56737891066828,118.67181601619377,118.44780792301526,119.61951135331233,117.1693693547548,120.18050909756275,119.25426806089112,120.19912072202177,117.15087227294939,118.84100183868117,118.65008342109148,120.01762194544614,120.1588503338845,119.86873358344728,119.3410855342496,118.47337585131915,120.18201053816406
cbest,0.7670128955971297,0.7658809566950318,0.7827863076009983,0.789243104372317,0.7752472582659882,0.776713403255171,0.7691052986185976,0.785188146924737,0.7655151462648093,0.7714608583486914,0.7653966139466494,0.7853121211564651,0.7741435916610998,0.7753892567735514,0.7665540985457826,0.7656531312039045,0.7675062316058732,0.7708996410427069,0.7765457794961248,0.7655055826411324
Number of iterations needed to find solution,639,1412,1960,2643,1277,1385,1185,1610,2976,402,1703,558,640,1348,1419,3884,806,1294,2188,2134
Solution found after (seconds),2.7109029293060303,4.223419189453125,5.399514198303223,6.369102954864502,3.7123663425445557,4.254891395568848,3.6184608936309814,4.437807083129883,8.034594535827637,2.233058452606201,5.218038558959961,2.8042075634002686,2.6936757564544678,4.62788200378418,5.147618293762207,14.44526195526123,3.7909200191497803,4.743785858154297,7.172804594039917,7.344198226928711
Explored_nodes_matrix,639,1412,1960,2643,1277,1385,1185,1610,2976,402,1703,558,640,1348,1419,3884,806,1294,2188,2134
